Rank,AllPos,AllNeg,TopPos,TopNeg,PropAllPos,PropTopPos,Movie,Release,Rev_10M,year,AllFresh
686,26,4,3,1,0.8667,0.75,Heaven Can Wait (1978) (Paramount),28-Jun-78,8.16,1978,1
687,106,41,19,15,0.7211,0.5588,Eight Below (Disney),17-Feb-06,8.16,2006,1
688,34,4,3,1,0.8947,0.75,M.A.S.H. (Fox),25-Jan-70,8.16,1970,1
689,155,25,30,4,0.8611,0.8824,Unstoppable (2010) (Fox),12-Nov-10,8.16,2010,1
690,39,34,10,11,0.5342,0.4762,Payback (1999) (Paramount),5-Feb-99,8.15,1999,0
691,105,22,25,7,0.8268,0.7813,The Talented Mr. Ripley (Paramount),25-Dec-99,8.13,1999,1
692,176,16,39,1,0.9167,0.975,School of Rock (Paramount),3-Oct-03,8.13,2003,1
693,7,9,0,0,0.4375,#DIV/0!,Police Academy (Warner Bros.),23-Mar-84,8.12,1984,0
694,19,61,4,15,0.2375,0.2105,Snow Dogs (Disney),18-Jan-02,8.12,2002,0
695,58,106,8,24,0.3537,0.25,21 (Sony / Columbia),28-Mar-08,8.12,2008,0
696,37,6,11,2,0.8605,0.8462,While You Were Sleeping (Disney),21-Apr-95,8.11,1995,1
697,9,34,1,12,0.2093,0.0769,Congo (Paramount),9-Jun-95,8.1,1995,0
698,80,74,18,20,0.5195,0.4737,The Notebook (New Line),25-Jun-04,8.1,2004,0
699,56,19,12,6,0.7467,0.6667,Jimmy Neutron: Boy Genius (Paramount),21-Dec-01,8.09,2001,1
700,85,3,13,3,0.9659,0.8125,Alien (Fox),25-May-79,8.09,1979,1
701,4,17,0,2,0.1905,0,Another 48 HRS. (Paramount),8-Jun-90,8.08,1990,0
702,38,3,6,1,0.9268,0.8571,Moonstruck (MGM),16-Dec-87,8.06,1987,1
703,71,122,14,23,0.3679,0.3784,Eat Pray Love (Sony / Columbia),13-Aug-10,8.06,2010,0
704,55,98,6,28,0.3595,0.1765,The Texas Chainsaw Massacre (2003) (New Line),17-Oct-03,8.06,2003,0
705,17,106,4,22,0.1382,0.1538,Zookeeper (Sony / Columbia),8-Jul-11,8.04,2011,0
706,30,111,1,24,0.2128,0.04,Alien Vs. Predator (Fox),13-Aug-04,8.03,2004,0
707,36,95,9,24,0.2748,0.2727,What Happens in Vegas (Fox),9-May-08,8.03,2008,0
708,22,143,8,30,0.1333,0.2105,The Dukes of Hazzard (Warner Bros.),5-Aug-05,8.03,2005,0
709,40,20,8,4,0.6667,0.6667,The Wedding Singer (New Line),13-Feb-98,8.02,1998,1
710,23,62,1,17,0.2706,0.0556,Saw III (Lionsgate),27-Oct-06,8.02,2006,0
711,117,55,24,12,0.6802,0.6667,Disturbia (Paramount / DreamWorks),13-Apr-07,8.02,2007,1
712,66,98,13,24,0.4024,0.3514,Nacho Libre (Paramount),16-Jun-06,8.02,2006,0
713,26,136,1,37,0.1605,0.0263,Jumper (Fox),14-Feb-08,8.02,2008,0
714,151,45,26,10,0.7704,0.7222,Cloverfield (Paramount),18-Jan-08,8,2008,1
715,19,15,3,1,0.5588,0.75,Footloose (1984) (Paramount),17-Feb-84,8,1984,0
716,39,96,6,24,0.2889,0.2,Dear John (Sony / Screen Gems),5-Feb-10,8,2010,0
717,5,8,0,1,0.3846,0,A Star Is Born (1976) (Warner Bros.),17-Dec-76,8,1976,0
718,46,2,6,0,0.9583,1,Fantasia (Disney / RKO),13-Nov-40,8,1940,1
