Rank,AllPos,AllNeg,TopPos,TopNeg,PropAllPos,PropTopPos,Movie,Release,Rev_10M,year,AllFresh
379,25,95,3,20,0.2083,0.1304,G-Force (Disney),24-Jul-09,11.94,2009,0
380,43,8,7,2,0.8431,0.7778,Total Recall (1990) (TriStar),1-Jun-90,11.94,1990,1
381,21,2,4,1,0.913,0.8,On Golden Pond (Universal),4-Dec-81,11.93,1981,1
382,151,42,26,7,0.7824,0.7879,The Other Guys (Sony / Columbia),6-Aug-10,11.92,2010,1
383,189,38,38,8,0.8326,0.8261,Fahrenheit 9/11 (Lionsgate),23-Jun-04,11.92,2004,1
384,99,69,17,19,0.5893,0.4722,The Sum of All Fears (Paramount),31-May-02,11.89,2002,0
385,194,19,43,1,0.9108,0.9773,Hairspray (2007) (New Line),20-Jul-07,11.89,2007,1
386,63,125,8,34,0.3351,0.1905,The Break-Up (Universal),2-Jun-06,11.88,2006,0
387,113,45,21,13,0.7152,0.6176,Lemony Snicket's A Series of Unfortunate Events (Paramount),17-Dec-04,11.86,2004,1
388,128,56,28,14,0.6957,0.6667,Blades of Glory (Paramount / DreamWorks),30-Mar-07,11.86,2007,1
389,27,15,2,4,0.6429,0.3333,Back to the Future Part II (Universal),22-Nov-89,11.85,1989,1
390,142,87,23,16,0.6201,0.5897,Salt (Sony / Columbia),23-Jul-10,11.83,2010,1
391,29,16,7,4,0.6444,0.6364,Basic Instinct (TriStar),20-Mar-92,11.77,1992,1
392,24,57,9,17,0.2963,0.3462,Big Momma's House (Fox),2-Jun-00,11.76,2000,0
393,30,16,5,3,0.6522,0.625,Die Hard 2: Die Harder (Fox),4-Jul-90,11.75,1990,1
394,138,62,23,17,0.69,0.575,Horrible Bosses (Warner Bros. / New Line),8-Jul-11,11.75,2011,1
395,42,4,4,2,0.913,0.6667,Rocky (United Artists),21-Nov-76,11.72,1976,1
396,66,38,7,13,0.6346,0.35,Jackass 3D (Paramount),15-Oct-10,11.72,2010,1
397,137,59,27,18,0.699,0.6,Ocean's Thirteen (Warner Bros.),8-Jun-07,11.72,2007,1
398,78,85,15,25,0.4785,0.375,S.W.A.T. (Sony / Columbia),8-Aug-03,11.69,2003,0
399,146,47,35,6,0.7565,0.8537,8 Mile (Universal),8-Nov-02,11.68,2002,1
400,21,63,4,18,0.25,0.1818,Double Jeopardy (Paramount),24-Sep-99,11.67,1999,0
401,58,163,7,32,0.2624,0.1795,Green Lantern (Warner Bros.),17-Jun-11,11.66,2011,0
402,81,17,21,7,0.8265,0.75,Notting Hill (Universal),28-May-99,11.61,1999,1
403,57,26,16,5,0.6867,0.7619,You've Got Mail (Warner Bros.),18-Dec-98,11.58,1998,1
404,36,99,7,15,0.2667,0.3182,Ghost Rider (Sony / Columbia),16-Feb-07,11.58,2007,0
405,96,36,21,12,0.7273,0.6364,Remember the Titans (Disney),29-Sep-00,11.57,2000,1
406,234,23,36,4,0.9105,0.9,District 9 (Sony / TriStar),14-Aug-09,11.56,2009,1
407,9,13,0,0,0.4091,#DIV/0!,The Karate Kid Part II (Columbia),20-Jun-86,11.51,1986,0
408,36,1,4,0,0.973,1,American Graffiti (Universal),1-Aug-73,11.5,1973,1
409,53,2,4,1,0.9636,0.8,Big (Fox),3-Jun-88,11.5,1988,1
410,112,48,23,14,0.7,0.6216,DodgeBall: A True Underdog Story (Fox),18-Jun-04,11.43,2004,1
411,88,116,19,22,0.4314,0.4634,The Village (Disney),30-Jul-04,11.42,2004,0
412,157,21,25,7,0.882,0.7813,Bolt (Disney),21-Nov-08,11.41,2008,1
413,22,82,4,21,0.2115,0.16,Wild Wild West (Warner Bros.),30-Jun-99,11.38,1999,0
414,148,38,34,3,0.7957,0.9189,Magic Mike (Warner Bros.),29-Jun-12,11.37,2012,1
415,24,16,1,6,0.6,0.1429,The Addams Family (Paramount),22-Nov-91,11.35,1991,1
416,82,50,14,16,0.6212,0.4667,The Patriot (Sony / Columbia),28-Jun-00,11.33,2000,1
417,117,92,21,17,0.5598,0.5526,The Bourne Legacy (Universal),10-Aug-12,11.32,2012,0
418,26,102,5,28,0.2031,0.1515,The Pacifier (Disney),4-Mar-05,11.31,2005,0
419,44,62,14,18,0.4151,0.4375,Dr. Dolittle 2 (Fox),22-Jun-01,11.3,2001,0
420,95,75,22,14,0.5588,0.6111,It's Complicated (Universal),25-Dec-09,11.27,2009,0
421,117,9,26,1,0.9286,0.963,Spy Kids (Miramax / Dimension),30-Mar-01,11.27,2001,1
422,18,17,3,2,0.5143,0.6,Ghostbusters II (Columbia),16-Jun-89,11.25,1989,0
423,59,4,16,0,0.9365,1,Face/Off (Paramount),27-Jun-97,11.23,1997,1
424,49,2,5,2,0.9608,0.7143,One Flew Over the Cuckoo's Nest (United Artists),20-Nov-75,11.2,1975,1
425,10,18,3,1,0.3571,0.75,Twins (Universal),9-Dec-88,11.19,1988,0
426,62,75,12,19,0.4526,0.3871,Spy Kids 3D: Game Over (Miramax / Dimension),25-Jul-03,11.18,2003,0
427,28,5,3,2,0.8485,0.6,Doctor Zhivago (MGM),22-Dec-65,11.17,1965,1
428,59,24,13,8,0.7108,0.619,Enemy of the State (Disney),16-Nov-98,11.15,1998,1
429,47,5,6,1,0.9038,0.8571,The Little Mermaid (Disney),15-Nov-89,11.15,1989,1
430,7,15,0,1,0.3182,0,Porky's (Fox),19-Mar-82,11.13,1982,0
431,139,75,23,19,0.6495,0.5476,The Last Samurai (Warner Bros.),5-Dec-03,11.11,2003,1
432,189,39,34,8,0.8289,0.8095,Tropic Thunder (Paramount / DreamWorks),13-Aug-08,11.05,2008,1
433,33,150,5,31,0.1803,0.1389,Valentine's Day (Warner Bros. / New Line),12-Feb-10,11.05,2010,0
434,62,93,9,25,0.4,0.2647,The Grudge (Sony / Columbia),22-Oct-04,11.04,2004,0
435,38,94,9,23,0.2879,0.2813,Fun with Dick and Jane (2005) (Sony / Columbia),21-Dec-05,11.03,2005,0
436,129,18,31,5,0.8776,0.8611,Freaky Friday (2003) (Disney),6-Aug-03,11.02,2003,1
437,27,80,6,20,0.2523,0.2308,Bedtime Stories (Disney),25-Dec-08,11.01,2008,0
438,46,81,11,19,0.3622,0.3667,Scary Movie 3 (Miramax / Dimension),24-Oct-03,11,2003,0
439,32,6,5,2,0.8421,0.7143,Star Trek IV: The Voyage Home (Paramount),26-Nov-86,10.97,1986,1
440,154,26,32,5,0.8556,0.8649,The 40-Year-Old Virgin (Universal),19-Aug-05,10.94,2005,1
441,3,23,0,4,0.1154,0,Crocodile Dundee II (Paramount),25-May-88,10.93,1988,0
442,18,137,4,26,0.1161,0.1333,Couples Retreat (Universal),9-Oct-09,10.92,2009,0
443,34,17,8,5,0.6667,0.6154,A Time to Kill (Warner Bros.),24-Jul-96,10.88,1996,1
444,129,41,28,11,0.7588,0.7179,Black Hawk Down (Sony / Columbia),28-Dec-01,10.86,2001,1
445,32,4,4,1,0.8889,0.8,Terms of Endearment (Paramount),23-Nov-83,10.84,1983,1
446,8,16,1,2,0.3333,0.3333,Ace Ventura: When Nature Calls (Warner Bros.),10-Nov-95,10.84,1995,0
447,53,60,13,16,0.469,0.4483,The Princess Diaries (Disney),3-Aug-01,10.82,2001,0
448,37,5,5,0,0.881,1,Superman II (Warner Bros.),19-Jun-81,10.82,1981,1
449,34,98,6,15,0.2576,0.2857,HOP (Universal),1-Apr-11,10.81,2011,0
450,55,3,15,1,0.9483,0.9375,Pulp Fiction (Miramax),14-Oct-94,10.8,1994,1
451,155,33,24,2,0.8245,0.9231,Paranormal Activity (Paramount),25-Sep-09,10.79,2009,1
452,164,17,41,2,0.9061,0.9535,Lincoln (Disney / DreamWorks),9-Nov-12,10.77,2012,1
453,37,8,6,3,0.8222,0.6667,A League of Their Own (Sony / Columbia),1-Jul-92,10.75,1992,1
454,185,103,21,26,0.6424,0.4468,Watchmen (Warner Bros.),6-Mar-09,10.75,2009,1
455,8,58,3,13,0.1212,0.1875,Batman and Robin (Warner Bros.),20-Jun-97,10.73,1997,0
456,20,6,3,1,0.7692,0.75,The Towering Inferno (Fox),14-Dec-74,10.71,1974,1
457,233,34,36,6,0.8727,0.8571,Black Swan (Fox Searchlight),3-Dec-10,10.7,2010,1
458,69,32,14,8,0.6832,0.6364,Analyze This (Warner Bros.),5-Mar-99,10.69,1999,1
459,136,5,31,0,0.9645,1,Chicken Run (DreamWorks),21-Jun-00,10.68,2000,1
460,48,67,8,20,0.4174,0.2857,Miss Congeniality (Warner Bros.),22-Dec-00,10.68,2000,0
461,40,9,9,5,0.8163,0.6429,GoldenEye (MGM/UA),17-Nov-95,10.66,1995,1
462,13,23,1,3,0.3611,0.25,Indecent Proposal (Paramount),7-Apr-93,10.66,1993,0
463,34,9,8,0,0.7907,1,Driving Miss Daisy (Warner Bros.),13-Dec-89,10.66,1989,1
464,13,10,4,0,0.5652,1,Love Story (Paramount),16-Dec-70,10.64,1970,0
465,30,4,5,1,0.8824,0.8333,Kramer Vs. Kramer (Columbia),19-Dec-79,10.63,1979,1
466,129,49,33,8,0.7247,0.8049,The Italian Job (Paramount),30-May-03,10.61,2003,1
467,62,85,12,23,0.4218,0.3429,How to Lose a Guy in 10 Days (Paramount),7-Feb-03,10.58,2003,0
468,13,20,2,6,0.3939,0.25,The First Wives Club (Paramount),20-Sep-96,10.55,1996,0
469,103,133,15,23,0.4364,0.3947,Robin Hood (Universal),14-May-10,10.53,2010,0
470,29,19,4,6,0.6042,0.4,Interview with the Vampire (Warner Bros.),11-Nov-94,10.53,1994,1
471,29,23,11,4,0.5577,0.7333,George of the Jungle (Disney),16-Jul-97,10.53,1997,0
472,232,11,41,2,0.9547,0.9535,Argo (Warner Bros.),12-Oct-12,10.5,2012,1
473,42,6,5,2,0.875,0.7143,The Graduate (AVCO Embassy),21-Dec-67,10.49,1967,1
474,17,17,1,5,0.5,0.1667,Phenomenon (Disney),3-Jul-96,10.46,1996,0
475,84,68,15,20,0.5526,0.4286,American Wedding (Universal),1-Aug-03,10.46,2003,0
476,170,37,30,8,0.8213,0.7895,Road to Perdition (DreamWorks),12-Jul-02,10.45,2002,1
477,135,26,27,7,0.8385,0.7941,The Princess and the Frog (Disney),25-Nov-09,10.44,2009,1
478,76,80,14,15,0.4872,0.4828,The Chronicles of Narnia: The Voyage of the Dawn Treader (Fox),10-Dec-10,10.44,2010,0
479,35,90,9,26,0.28,0.2571,Daddy Day Care (Sony / Columbia),9-May-03,10.43,2003,0
480,76,36,12,8,0.6786,0.6,Paranormal Activity 3 (Paramount),21-Oct-11,10.4,2011,1
481,29,16,3,5,0.6444,0.375,Dick Tracy (Disney),15-Jun-90,10.39,1990,1
482,51,74,7,19,0.408,0.2692,Journey 2: The Mysterious Island (Warner Bros. / New Line),10-Feb-12,10.39,2012,0
483,156,44,40,6,0.78,0.8696,Dreamgirls (Paramount / DreamWorks),15-Dec-06,10.34,2006,1
484,23,5,2,1,0.8214,0.6667,9 to 5 (Fox),19-Dec-80,10.33,1980,1
485,80,115,10,22,0.4103,0.3125,The Expendables (Lionsgate),13-Aug-10,10.31,2010,0
486,49,10,12,4,0.8305,0.75,Scream (Miramax / Dimension),20-Dec-96,10.3,1996,1
487,25,107,8,24,0.1894,0.25,Just Go With It (Sony / Columbia),11-Feb-11,10.3,2011,0
488,41,4,4,0,0.9111,1,Bambi (Disney / RKO),13-Aug-42,10.28,1942,1
489,20,68,4,20,0.2273,0.1667,The General's Daughter (Paramount),18-Jun-99,10.27,1999,0
490,186,27,37,8,0.8732,0.8222,The Aviator (2004) (Miramax),17-Dec-04,10.26,2004,1
491,74,48,14,12,0.6066,0.5385,American Pie (Universal),9-Jul-99,10.26,1999,1
492,96,117,9,27,0.4507,0.25,Daredevil (Fox),14-Feb-03,10.25,2003,0
493,188,30,34,9,0.8624,0.7907,The Girl with the Dragon Tattoo (2011) (Sony / Columbia),20-Dec-11,10.25,2011,1
494,22,146,3,32,0.131,0.0857,The Mummy: Tomb of the Dragon Emperor (Universal),1-Aug-08,10.25,2008,0
495,41,2,6,1,0.9535,0.8571,In the Line of Fire (Columbia),9-Jul-93,10.23,1993,1
496,40,5,3,3,0.8889,0.5,Butch Cassidy and the Sundance Kid (Fox),23-Sep-69,10.23,1969,1
497,39,0,3,0,1,1,Mary Poppins (Disney),29-Aug-64,10.23,1964,1
498,94,61,24,9,0.6065,0.7273,Journey to the Center of the Earth (Warner Bros. / New Line),11-Jul-08,10.17,2008,1
499,33,101,8,28,0.2463,0.2222,Gone in 60 Seconds (Disney),9-Jun-00,10.16,2000,0
500,28,10,7,0,0.7368,1,Maverick (Warner Bros.),20-May-94,10.16,1994,1
501,7,25,1,7,0.2188,0.125,Sleeping with the Enemy (Fox),8-Feb-91,10.16,1991,0
502,47,132,8,25,0.2626,0.2424,Eagle Eye (Paramount / DreamWorks),26-Sep-08,10.14,2008,0
503,66,18,18,7,0.7857,0.72,The Prince of Egypt (DreamWorks),18-Dec-98,10.14,1998,1
504,59,14,17,1,0.8082,0.9444,Scream 2 (Miramax / Dimension),12-Dec-97,10.14,1997,1
505,10,5,0,1,0.6667,0,Stir Crazy (Columbia),12-Dec-80,10.13,1980,1
506,16,29,5,7,0.3556,0.4167,Eraser (Warner Bros.),21-Jun-96,10.13,1996,0
507,58,2,9,2,0.9667,0.8182,Unforgiven (Warner Bros.),7-Aug-92,10.12,1992,1
508,16,134,5,33,0.1067,0.1316,Dr. Seuss' The Cat in the Hat (Universal),21-Nov-03,10.11,2003,0
509,34,28,3,9,0.5484,0.25,Con Air (Disney),6-Jun-97,10.11,1997,0
510,85,41,20,10,0.6746,0.6667,Sleepy Hollow (Paramount),19-Nov-99,10.11,1999,1
511,194,31,37,8,0.8622,0.8222,Collateral (DreamWorks),6-Aug-04,10.1,2004,1
512,39,23,8,10,0.629,0.4444,Contact (Warner Bros.),11-Jul-97,10.09,1997,1
513,76,99,17,22,0.4343,0.4359,Charlie's Angels: Full Throttle (Sony / Columbia),27-Jun-03,10.08,2003,0
514,25,23,3,4,0.5208,0.4286,The Pelican Brief (Warner Bros.),17-Dec-93,10.08,1993,0
515,66,97,9,25,0.4049,0.2647,Vanilla Sky (Paramount),14-Dec-01,10.06,2001,0
516,72,110,14,20,0.3956,0.4118,Due Date (Warner Bros.),5-Nov-10,10.05,2010,0
517,29,20,8,4,0.5918,0.6667,The Rugrats Movie (Paramount),20-Nov-98,10.05,1998,0
518,206,19,39,2,0.9156,0.9512,Million Dollar Baby (Warner Bros.),15-Dec-04,10.05,2004,1
519,12,3,0,1,0.8,0,Airport (Universal),5-Mar-70,10.05,1970,1
520,16,16,2,4,0.5,0.3333,Jumanji (Sony / TriStar),15-Dec-95,10.05,1995,0
521,99,81,17,19,0.55,0.4722,Step Brothers (Sony / Columbia),25-Jul-08,10.05,2008,0
522,45,148,4,37,0.2332,0.0976,Evan Almighty (Universal),22-Jun-07,10.05,2007,0
523,16,20,3,7,0.4444,0.3,Casper (Universal),26-May-95,10.03,1995,0
524,95,7,23,2,0.9314,0.92,Shakespeare in Love (Miramax),11-Dec-98,10.03,1998,1
525,76,96,10,26,0.4419,0.2778,Bad Teacher (Sony / Columbia),24-Jun-11,10.03,2011,0
526,13,85,3,14,0.1327,0.1765,Yogi Bear (Warner Bros.),17-Dec-10,10.02,2010,0
527,103,130,20,20,0.4421,0.5,Cowboys & Aliens (Universal),29-Jul-11,10.02,2011,0
528,46,8,11,6,0.8519,0.6471,Seven (New Line),22-Sep-95,10.02,1995,1
529,36,13,9,6,0.7347,0.6,The Hunchback of Notre Dame (Disney),21-Jun-96,10.01,1996,1
530,37,3,7,0,0.925,1,Parenthood (Universal),2-Aug-89,10,1989,1
531,67,116,15,23,0.3661,0.3947,You Don't Mess with the Zohan (Sony / Columbia),6-Jun-08,10,2008,0
532,23,22,6,5,0.5111,0.5455,Die Hard: With A Vengeance (Fox),19-May-95,10,1995,0
533,3,9,1,0,0.25,1,Hope Springs (2003) (Buena Vista),5-Sep-03,10,2003,0
534,65,52,13,11,0.5556,0.5417,Gnomeo and Juliet (Disney),11-Feb-11,10,2011,0
535,41,8,10,3,0.8367,0.7692,Hercules (1997) (Disney),15-Jun-97,9.91,1997,1
536,99,126,9,30,0.44,0.2308,The Green Hornet (Sony / Columbia),14-Jan-11,9.88,2011,0
537,146,72,26,11,0.6697,0.7027,Date Night (Fox),9-Apr-10,9.87,2010,1
538,23,3,1,0,0.8846,1,The Color Purple (Warner Bros.),20-Dec-85,9.85,1985,1
539,90,46,19,13,0.6618,0.5938,Meet the Robinsons (Disney),30-Mar-07,9.78,2007,1
540,69,83,13,19,0.4539,0.4063,Yes Man (Warner Bros.),19-Dec-08,9.77,2008,0
541,13,49,4,17,0.2097,0.1905,Inspector Gadget (Disney),23-Jul-99,9.74,1999,0
542,174,84,27,16,0.6744,0.6279,Public Enemies (Universal),1-Jul-09,9.71,2009,1
543,269,11,46,0,0.9607,1,The Social Network (Sony / Columbia),1-Oct-10,9.7,2010,1
544,123,24,22,12,0.8367,0.6471,The Others (Miramax),10-Aug-01,9.65,2001,1
545,94,44,20,13,0.6812,0.6061,Legally Blonde (MGM),13-Jul-01,9.65,2001,1
546,138,42,25,10,0.7667,0.7143,Panic Room (Sony / Columbia),29-Mar-02,9.64,2002,1
547,58,2,10,0,0.9667,1,Schindler's List (Universal),15-Dec-93,9.61,1993,1
548,45,8,4,3,0.8491,0.5714,Dead Poets Society (Disney),2-Jun-89,9.59,1989,1
549,11,112,2,28,0.0894,0.0667,Norbit (Paramount / DreamWorks),9-Feb-07,9.57,2007,0
550,158,65,38,5,0.7085,0.8837,Cold Mountain (Miramax),25-Dec-03,9.56,2003,1
551,27,3,4,1,0.9,0.8,Arthur (1981) (Orion),17-Jul-81,9.55,1981,1
552,13,23,2,7,0.3611,0.2222,Michael (1996) (New Line),25-Dec-96,9.54,1996,0
553,30,168,3,33,0.1515,0.0833,Sex and the City 2 (Warner Bros. / New Line),27-May-10,9.53,2010,0
554,30,84,10,18,0.2632,0.3571,The Princess Diaries 2: Royal Engagement (Disney),11-Aug-04,9.52,2004,0
555,108,51,19,15,0.6792,0.5588,Unbreakable (Disney),22-Nov-00,9.5,2000,1
556,92,99,16,20,0.4817,0.4444,The Book of Eli (Warner Bros.),15-Jan-10,9.48,2010,0
557,12,132,3,27,0.0833,0.1,"10,000 B.C. (Warner Bros.)",7-Mar-08,9.48,2008,0
558,39,57,9,10,0.4063,0.4737,Beverly Hills Chihuahua (Disney),3-Oct-08,9.45,2008,0
559,84,10,14,1,0.8936,0.9333,The Lion King 3D (Disney),16-Sep-11,9.42,2011,1
560,159,53,35,11,0.75,0.7609,Julie & Julia (Sony / Columbia),7-Aug-09,9.42,2009,1
561,35,4,3,1,0.8974,0.75,Saturday Night Fever (Paramount),16-Dec-77,9.42,1977,1
562,56,12,11,3,0.8235,0.7857,The Mask of Zorro (Sony / TriStar),17-Jul-98,9.41,1998,1
563,57,88,10,23,0.3931,0.303,Maid in Manhattan (Sony / Columbia),13-Dec-02,9.4,2002,0
564,65,92,12,27,0.414,0.3077,He's Just Not That Into You (Warner Bros. / New Line),6-Feb-09,9.4,2009,0
565,175,32,39,3,0.8454,0.9286,Master and Commander: The Far Side of the World (Fox),14-Nov-03,9.39,2003,1
566,209,22,32,6,0.9048,0.8421,The Fighter (Paramount),10-Dec-10,9.36,2010,1
567,45,98,7,31,0.3147,0.1842,America's Sweethearts (Sony / Columbia),20-Jul-01,9.36,2001,0
